Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","6136","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","1003","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2515","Seigle et produits","2013","2013","Milliers de tonnes","3318","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","786","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","652","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","127","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2517","Millet et produits","2013","2013","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","34","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5521","Aliments pour animaux","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","2373","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","960","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","62","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","433","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","350","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","975","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2517","Millet et produits","2013","2013","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2517","Millet et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","139","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","2577","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","1554","I","Valeur imputée"
